Index,"Lentz Public Health Floor 1, OAU 12-01, OA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, OAU 12-01, EA Fan DP, Present Value (Units: in  W.C.)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Speed Command (Units: %)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Flow Local (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Local (Units: CFM)","Lentz Public Health Floor 1, OAU 12-01, OA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, OA Flow Pgain, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Correction, Present Value","Lentz Public Health Floor 1, OAU 12-01, EA Flow Pgain, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Exhaust Air Flow Setpoint (Units: CFM)","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan_Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Fan Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Filter Status","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA_Filter Staus","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Fire_Alarm Shutdown","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Supply Fan Status, Present Value","Lentz Public Health Floor 1, OAU 12-01, AHU12-01 Return Fan Status, Present Value","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan S/S Command","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, Outside Air Unit Enable BAS","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, OA_Fan Failure Reset","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure","Lentz Public Health Floor 1, Lentz First Floor, OAU 12-01, EA Fan Failure Reset",Mode
0,0.708850932,0.988235294,0.540059701,0.97621961,0.834636523,0.988898825,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
1,0.711956522,0.979831933,0.545447761,0.977336809,0.836427825,0.984229264,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
2,0.715838509,0.976470588,0.547014925,0.97504921,0.833646591,0.980513415,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
3,0.708850932,0.968067227,0.545791045,0.976485609,0.836635162,0.977988859,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
4,0.718167702,0.98487395,0.548074627,0.977762409,0.840413263,0.987042244,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
5,0.708850932,0.978151261,0.545507463,0.971538011,0.834193511,0.98333678,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
6,0.711956522,0.966386555,0.543880597,0.97600681,0.836344961,0.986450358,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
7,0.703416149,0.978151261,0.543880597,0.97558121,0.831126023,0.983231508,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
8,0.714285714,0.979831933,0.546462687,0.971644411,0.835053948,0.984167318,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
9,0.713509317,0.973109244,0.544776119,0.976485609,0.837360124,0.980709099,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
10,0.708074534,0.98487395,0.546044776,0.976485609,0.835320712,0.982015868,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
11,0.709627329,0.983193277,0.547447761,0.977230409,0.834754541,0.985985228,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
12,0.710403727,0.981512605,0.548552239,0.977230409,0.836602997,0.983927233,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
13,0.711956522,0.976470588,0.548552239,0.978241209,0.836132961,0.982783565,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
14,0.721273292,0.976470588,0.547283582,0.979996808,0.842037044,0.982488338,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
15,0.719720497,0.978151261,0.547283582,0.979943608,0.841006936,0.983636124,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
